Owner,Repository name,Total PRs,Total reviews,Total files,Analysis time,Description,Interactions
public-apis,public-apis,88,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,17.15909090909091,4214,0240022211012001101031201000000004023000001022211140001200010011002000400000005001200110
puppeteer,puppeteer,88,020015044210167113000006103001022181700116001010202003010110000013000010006000021020000052151700,1332612325125544111741148311119111811242135431441742123535141126111411113122132111113335551010,0.4431818181818182,7073,01002010100070010100300001503003501000000000001001210000010010010200060000200000100040100
python,cpython,74,13831511121221121131232264211123223111341111221512313632811111111151192113016111,123143119112111151114135311111222111151111311113221112441122224222133317421,9.094594594594595,16062,51416354313012922121212114265631000001233621526251241043342700000020113056160020231
pytorch,pytorch,88,00000000022001400080061600000400000540800010011200200000023019153210008001422230000101640010271,62828126141428134130537161082907202211821711798436424231122177611110285142102159929432223219102241739212413191103115212414,0.7954545454545454,9493,6000000007000010000003001000000000110000030110010000000801232000023165007000030000300012
rails,rails,10,0000000000,91044165061131,16.6,2000,86211200217
redis,redis,34,0000000000000000000000000000000000,13141110161111112611551111411241041,10.235294117647058,6700,0000012220100011051015111141113011
reduxjs,redux,64,0000000000000000000000000000000000000000000000000000000000000000,122261111171235311131611571131815103421022121212228641812141911212251112,0.203125,17722,11013110007117331104216110324205102201641314200700217041131201221005114115
resume,resume.github.com,49,0000000000000000000000000000000000000000000000000,1734121422122322316111131114421411111111111111111,43.95918367346939,6344,02100002001100510061000200011513110100001010101200
ripienaar,free-for-dev,83,00000000000000000000000000000000000000000000000000000000000000000000000000000000000,11111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.012048192771084338,2879,10131101111111110131211121521211110111110111031102211211110111611211111111111121131
rust-lang,rust,29,00000000000000000000000000000,1223311113141211380488081316576,0.27586206896551724,5059,00220010000000000012000011300
rustdesk,rustdesk,83,00000000000000000000005000100000000000000000000000000000000000000000100000000000000,1111311311111411211318142421711111914191331112512158811222111111416215148411731615511121111511712,0.4939759036144578,10187,00000020110011313000014801001010110000001000010000010111311100020031203110500001110
ryanmcdermott,clean-code-javascript,69,000000000000000000001020400300000000000002010000000002000100003006000,111111111111111111111111111111111111111111101111111111111111111111111,0.7246376811594203,9277,211211111111113113154151317311121192111111141111331313111241323162141
scikit-learn,scikit-learn,52,0000000000000000000000000000000000000000000000000000,71361320181978142410133913122124121714712713111224928112311101312118,13.48076923076923,16835,221450013834121225221683212133200158260533113173931431551121742023025
scutan90,DeepLearning-500-questions,94,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,111111211401322611613481511130151681117368112311511113111111111111111212381121459111341112111102311411262321711,1.074468085106383,1473,0101000000001000000000000000000000000000000000000000000002000000000000000000000000000000001000
sdmg15,Best-websites-a-programmer-should-visit,68,00015100312022000030000000000001031002020320000102100111002202422100,11111111111111111111112111111111111111111111111111111111111111311111,9.661764705882353,6633,11213121602113002011005010000002022001211110210200200121401110251000
shadcn-ui,ui,54,111300001471111111111111011012011201111000000009111111,4111131122115412112721111214711171298131631112861012433323111311,9.018518518518519,6546,221222331721232241224423421221231322135221111112129222222
shadowsocks,shadowsocks-windows,52,0000000000000000000000000000000000000000000000000000,18812419515111021116418111419411151312619221151554311111131,0.7307692307692307,5045,2010111114613932211215730012300120100000011200026312101
sindresorhus,awesome,50,00000000000000000000000000000000000000000000000000,11111111111111111111111111111111111111111111111111,0.46,1153,01000010000010003002111321011001000010100000103000
sindresorhus,awesome-nodejs,51,000000000000000000000000000000000000000000000000000,111111111111111111111111111111111111111111111111111,0.9411764705882353,5060,001000040020000003000000204220101200001020103100000
socketio,socket.io,33,000000000000000000000000000000000,233311111413111246132781221141112,1.4848484848484849,6679,100903011010161002000000000010000
spring-projects,spring-boot,11,00000000000,111112611131,0.36363636363636365,1399,01010224000
spring-projects,spring-framework,20,00000000000000000000,104232300017136127121418651,7.3,7778,03531002021310001200
storybookjs,storybook,77,00000000000000000000000000000000000000000000000000000000000000000000000000000,1111311271152851151142321412361151339125254311241416251124411165222101162751243212111111,0.4935064935064935,11722,2011111322030811143113413233413342012809313137000501111222020230111000010131110
strapi,strapi,94,0000000000000000000000000000000000000000000000000000015005101001901812173000140170001272013401110,11415211444115111111113216218741112394172111424781510110132145155871782536117376162403174426148771182175042015532214517327127571233552193883171690174666012,2.797872340425532,41706,0000100010000000000009000010010010001002110001000002121201100100711112111011111111101010000101
supabase,supabase,69,300000000000000000000000000000023000000000000000001000004200000000000,915111211111111221112121521211122131122321711121222111223146127414814167122,1.0,126845,107020200000000000001000003100093000000100100000111411121422311311121
sveltejs,svelte,93,000000000000102000000000000200000000000000000001001100000000030000000000002000000000000000000,382379431541361110494642153112673322349432828136546221715169368274831210112105335411143354612134185257771311396,0.7956989247311828,25637,322200033012361211222213222321111132431111111111181101032116253000023312000002601146001007000
swisskyrepo,PayloadsAllTheThings,94,0000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000,11111111111111111111321111112311111151111111111111117111111111111111111111211111211181121111111,0.18085106382978725,5972,0000100020000000000302000000300000000000100000000001301000020000000000000000000100090000000000
syncthing,syncthing,58,0000000000000000000000000000000000000000000000000000000000,1121121121211131111241131111221243123154121012120111112143511,0.3103448275862069,7294,1066110110411131111351041103124231912222345242105100121014100
tailwindlabs,tailwindcss,86,00000000000001000000020000000000100001051020039600500000010040140101100000000300000000,1111111111111111161111141111411111521222114111012415251581121125126141211164164664731114113276314,1.7093023255813953,15088,211111111110111151001110010111111020321103000041007010110610160120010210005101721000132
tauri-apps,tauri,65,040111212300310021110101113012011111001011010001211101122113211111,172721293394242105949918181217761346643192511196728911371191837661160132691115221632116381,2.3846153846153846,54928,01000010200040000101000000002111030100300000009112001002000720000
tensorflow,models,76,0000000000000000000000000000000000000000000000000000000000000000000000000000,121241114211111211111711121146111111113111111113115114111211291111111111117111391111371,18.92105263157895,7715,160046113400150300087140422100073323510433026048011365370033260408333303033001
tensorflow,tensorflow,47,00000000000000000000000000000000000000000000000,11316291112111121112111111117192311122116217716314,9.106382978723405,8362,87681203151452201630150040324077415000111221040310242
tesseract-ocr,tesseract,70,0000000000000000000000000000000000000000000000000000000000000000000000,11111711111111112211419114370113241541445144718122111112121813111114111111,28.385714285714286,11780,3300030000040002000000560000000124716000031000000001104030002500200001900
