Owner,Repository name,Total PRs,Total reviews,Total files,Analysis time,Description,Interactions
d3,d3,70,0000000000000000000000000000000000000000000000000000000000000000000000,6314376561196111191191211532286733162043671031653999669313398110112311221331339313,6.114285714285714,12971,21101193342115100242102831144307146644110536435210500311021111601111166120
danielmiessler,SecLists,66,000000000000000000000000000000000000000000000000000000000000000000,126724131311111111121410126724131311111111121410126724131311111111121410,55.04545454545455,2859,101001000000000010010010100100000000001001001010010000000000100100
denoland,deno,32,112191201612211201705131131204131,111014111311211311211124331114111,1.09375,2982,00301000262112001310132100312211211
django,django,26,00000000000000000000000000,111116111171117111101111141,6.576923076923077,3884,310110150100010180250501001
donnemartin,system-design-primer,81,000111110000111120113000011000011021101011001130000110160100102131018011010012112,8111111111118311111111118111111111111121111111171111111111111111111142131111211131,13.395061728395062,4960,0041111200012111101210000110010420111011110011800002101901104011310123011020114021
doocs,advanced-java,63,100000100000111111110011111131111211111110012100111010110011111,2542422212211222212142121051112618116113113116860011716161127322171131211,0.1111111111111111,35358,000000000200000000000000001021000201000001003001000100200030324
elastic,elasticsearch,3,000,10254,26.0,2489,1711
electron,electron,97,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2921125218174168114386142121451847132112826244189612191366812562664453165222189023019241751111691111111111121111111499171392841,1.4845360824742269,14015,01117091501100300700410321100081001000250030000010103000000100323015211110111100010011200000010004011
enaqx,awesome-react,94,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,2.297872340425532,2884,1111121111001100311211111111111111111120111111110111112111110101011121120100101010101221123311
excalidraw,excalidraw,88,0152401210000210501010231302105021810000801006012001000112000110004011100000008010013103199,1112216111111112211111132115211321111143121112112511121111321111114111181112111111412321,0.0,10359,0130201400000071211000161001410111120000011101113100005003001010020013012100000507000001400182
expressjs,express,20,00000000000000000000,11111111211111111113,0.0,2015,004030011201021300300
f,awesome-chatgpt-prompts,69,000000000000000000000001000000003000001200000000000113100000000000000,111111111110111111111111111111111111222222222122222221222112112222212,0.13043478260869565,18715,100000000000100000000001002000000030262003000000010121000000112000100
facebook,create-react-app,64,0000000000000000000000000000000000000000100000000000000000000000,1521417174995421241126471731133121121112321111121112142122217111,0.140625,14881,0333481011814400912301121006111108531443452010317121230201153143832111
facebook,docusaurus,96,0005110131312511141926302002315019141111012034205003011310011011101001111111111211241111013121115,1373143111182132322843271914222222327121022795132262428201511216106112311321562122111211111219342131112311118,2.3958333333333335,25337,11040010341000006044710300000001004131000010305313110030420000200000003010110000000001000000000010
facebook,react,83,00000000000000000000000000000000000000000000000000000000000000000000000000000000000,24121111112141144715151211171111311011111524221522951313131211111211135951121113112111,1.3855421686746987,15039,4100000030021200190482004120003010800120500120201118000300031000100111040023100101201
facebook,react-native,38,00000000000000000000000000000000000000,14312361362652112127757515881172333142038121142221111711,0.9473684210526315,12664,72450100020000044000130210111060122005
fatedier,frp,78,000000000000000000000000000000000000000000000003011111000210101010000000000000,3121442633561212018180117671613231222847113212431741562113131341019103932356152194112171168410193412953837133257,0.3333333333333333,2397,010101001000000010000000001000000001003000000010000000000000001000000000000000
fffaraz,awesome-cpp,75,000000000000000000000000000000000000000000000000000000100000000000000000000,111111111111111111111111111111111111111311111111111211111111111111111111111,19.013333333333332,3591,101101000010204000100000001003010000200232301300000000002021000214000000000
florinpop17,app-ideas,92,11319301111100111112411411111111111111111351210211101111111121111111101111110000010000101111,22223212222221222352132241223222122312321222212113212222222231222822222122151111111122221781225,0.6195652173913043,6742,00100000001000001003000002110000000212010100301100000600000070010001000011111111100010104110
flutter,flutter,86,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000,331493339424616251112412236122711323723144321513316111112301131152522133451214222147153114151152,0.09302325581395349,11215,04121122003392311321111111124511215101221312121241111211112112112132114121111146211622
freeCodeCamp,freeCodeCamp,74,00000000000000000000000000000000000000000000000000000000000000000000000000,2103876110112212413424112193244111312343113851111411241111112711162111441111112123111351111,0.28378378378378377,5064,20000011000000020001010000000200000002000000000000000410110000510070120021
gatsbyjs,gatsby,80,00000000000000000000000000000000000000000000000000000000000000000000000000000000,116161112111111111114111811305112312311212112141111314216112135716212182120114131121611,3.4625,20466,418219201111241221041121443111216421180221521000361292349200000342012529232412011932
getify,You-Dont-Know-JS,81,000000000000000000000000000000000000000000000000000000000000000000000000000000000,111111111111111111111111111111111111111111113112115111111111112111111111111111111,1.654320987654321,4899,111211122111111111111111111101211111031120011111102011132411110010011001112111111
ggerganov,llama.cpp,58,00010205301212001001211111111992112310112011011611516117111,11131413121113114111232112112191131111331102111311257111311,1.0689655172413792,16472,0101303161006710010082103026060420003000000117151262411130007501
gin-gonic,gin,63,000000000000000000000000000000000000000000000000000000000000000,111111111111321141112112111111121111111121221111112111111212111,17.22222222222222,7091,1110161211012111841131150102102110200007101111111120111802228163
github,gitignore,7,0000000,6161161,13.142857142857142,979,0000001
godotengine,godot,70,0000000000000000000000000000000000000000000000000000000000000000000000,1211111121115113111115231111521131222131313115481211612211322122511113,3.857142857142857,13204,0000134010030000100100203010300060000000013310140010012000030002000010
gohugoio,hugo,36,000000000000000000000000000000000000,1222114211111167211341114211111111111,0.2777777777777778,6179,1131411111111111163415611111111111111
goldbergyoni,nodebestpractices,86,00000011100101100100100020111111111011111001100120111110121110111101101000001101014110,11111111111111111221111111111212111211211121112122511211212111541923124426111341121112221141,1.0232558139534884,3988,000101111213210115101011104101204310010117002010420120001001020212000010000002140829201
gothinkster,realworld,90,010000000000000000000000011000100010111000002000010100110110000010010101100010000000000000,111111112111133111111111121111111111181111111411111311151111111111111112111111111111111111,3.0555555555555554,5162,101101102010308001010001005001101311110000002000010100110100000000000200100011002000001110
grafana,grafana,75,000000000000000000000000000000000000000000000000000000000000000000000000000,1111111151111111111111121161120141111121112111141311913211532123111123114111,3.5733333333333333,12045,1111112520133111201014122125111211121211021612189121421451041603140110121311052
h5bp,Front-end-Developer-Interview-Questions,78,000000000000000000000000000000000000000000000000000000000000000000000000000000,111112112111111112111111112111111111111111111111111111111111111111111111112111,6.435897435897436,3600,000002000210200011000000001030002020000000000310000010300000021000000000000000
h5bp,html5-boilerplate,21,000000000000000000000,1211411878111121121611,8.095238095238095,7396,022171071111712121423
hakimel,reveal.js,73,0000000000000000000000000000000000000000000000000000000000000000000000000,1111111111121812111111111911521111111221311211212124186612211111113122611,5.328767123287672,14586,1110210103540601111210121710010100321121010000400227032001510000018101012
home-assistant,core,80,00000000000000000000000000000000000000000000000000000000000000000000000000000000,2231411844211111116225331147731271331311132712781232114237134315212713551711333331295111411624,5.375,22484,1116296272730500921841400101230321030112841126101503127111914218122561124221011172105
hoppscotch,hoppscotch,78,111111021211011000000020211121112101211010011112310210101111171121511311114111,11131311111122138394393972153121212222221392311121171221545171111244212111311211421,0.34615384615384615,26618,11522222222222423041303593841114431542148111211212844611211112132575226251236323223
huggingface,transformers,79,0000000010000000000030100000070000010031000000000005111000000000000000000005020,32131112311221119111111411151612213111311111111111113612111301115111113111211122241,2.189873417721519,16915,01101310301111001011101411051311211112111122310111101114111110111011100111111132121
iluwatar,java-design-patterns,75,000000000000000000000000000000000000000000000000000000000000000000000000000,812241151214533581214111731192111021015158101116691111911111312831111712461103211211141243811211122817,2.1066666666666665,10642,4300020072120914300042433116120211005310213301003219102105811161252011411227648012
iptv-org,iptv,97,0100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11111121111111111111111111111111111111111111122111111111111111111111111111111111111111111111111111,0.010309278350515464,2996,1220101100000000000000000000000000000000000000000000000110000000000000000000000000000000000000000
jackfrued,Python-100-Days,12,000000000000,1111112021121,17.583333333333332,920,010010501111
jaywcjlove,awesome-mac,92,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11111111111111121122111112212221121222111222211212111111311111211111111111121121112221112112,0.0,3662,30002200002100000000000000000010010010300000000030000100230104500000010000000000000000000000
jlevy,the-art-of-command-line,54,000000000000000000000000000000000000000000000000000000,111111111111111111111111111111111111111111121111111115,2.5,4750,1113312111111125114315113111113111424115216100011201252
josephmisiti,awesome-machine-learning,94,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.22340425531914893,7831,0012100411111111101001112131002111120011101111111011010111000101022221121111111131021111111111
jquery,jquery,37,0000000000000000000000000000000000000,1112117121222213011421050212122223022,19.81081081081081,8634,0100001100000000100100030000000101910
junegunn,fzf,67,0000000000000000000000000000000000000000000000000000000000000000000,114411221231111111231114521114061220428111111113111111213111121112111,1.1343283582089552,11135,12009112200071031510001140671940600230151432314671551613720111721211312
justjavac,free-programming-books-zh_CN,77,00000000000000000000000000000000000000000000000000000000000000000000000000000,11111111111111111111111111111111111111111111111111111111111111111111111111111,2.6363636363636362,1037,00000000000010010011101111500000111000000100030000000120010000101000110000060
jwasham,coding-interview-university,58,10100200000100000002000002000000120200030010000000000000000,1111111111121121111111111111121121211111211111211221111111,36.60344827586207,5867,005002011101101012221111111011111114400911106910221197094312
kamranahmedse,developer-roadmap,21,000000000000001101001,112121111121122141222,18.523809523809526,3195,111130101101015020132
kelseyhightower,nocode,1,5,0,203.0,0,24
keras-team,keras,69,000000000000000000000000000000000000000000000000000000000000000000000,1113111121111221111223111131711111121121211111163164221411132111111183,1.434782608695652,23216,0000102000402803101110035102030000000010150001013501051140192001200003000119
krahets,hello-algo,71,204008115111118111411319134111151412011101172011107211131411112191411461751118,594911112111111413411811633823333838310387572213812231163411197411611315511314,0.6197183098591549,7215,411111121111111511121314111212311121112112711152111211111341211121141112
kubernetes,kubernetes,90,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,254112151112117182630814113111121111111111613651131131102011118183912212123311226127211111231471112233282,0.13333333333333333,5704,000000100000010001000000002403106230020310030080030211110000000010000040000013120003202005
labuladong,fucking-algorithm,77,02000310101100000110000100010000000000000000000000000000000000000000000000000,14352102224162211101109281102112259155614291711822314261195242151741033148263108212107211,3.5194805194805197,3693,24201101403011111221112500100322110100136111110110311111111111111121110113200
langchain-ai,langchain,94,0000000000000000000007000000100003001002600000103020042000000000102011001071141110010000700107,974147477448132313715121111511111111051393116193131111455120175311641141275413631141212432111231217211217,0.6595744680851063,3674,0000000000000000000000000000100006000005200000000000023000000000101010000020010000000000001110
laravel,laravel,52,0000000000000000000000000000000000000000000000000000,111112212111111311111102321111112111112111022311112121,0.11538461538461539,6179,1360000861100100000002014010000000101113100000000000
leonardomso,33-js-concepts,79,0000000000000000000000000000000000000000000000000000000002000000000000000000000,1111111111111111111111121111121111111111111111111111111111111111111111111111111,0.08860759493670886,5161,1400000203320000010000010020000000040100000100000000000000000000000000010000100
lodash,lodash,42,000000000000000000000000000000000000000000,432122112183218221111311119121111122212111,0.2619047619047619,7350,11442111123161722516333361942112331223451145313
lydiahallie,javascript-questions,72,0040402102001111111211002310111115162211161111111111111111131111111143111,111111211111112222212111111116112221611122121111111211111111111111111211,2.3055555555555554,3504,00310061101000630120100004000000534000001130120001210001000000000000000000
mermaid-js,mermaid,87,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,731143111233121111121110116818116297111111114811623111011142717111135235111121126821321016715811721,0.5287356321839081,18090,021101111214111110101031022211316111111011222211303011111112111111111121921412241315111
meta-llama,llama,34,0002001101021120101101000221222210,1111111311111113111111511111111111,12.117647058823529,2871,0220110203100100030342302320210001
microsoft,ML-For-Beginners,90,111001112211111111101111121111220101222302112111221110211111011111111102101231310812110121,11121111111121211211211111111121359231129111511341111111111119111125351111112111112211141212,2.2111111111111112,7480,121411000000000001010000011111217110102810010020100111210000100005100016302320506901110030
microsoft,PowerToys,67,021001210000000101111211112021311113130200115531111111412311112211131,41111341121111117111310311419111111296174111321115361131322122226314121111111115,2.1791044776119404,28716,01111010011212110440015020150336001206131111110000210022200001000010
