Repository name;Repository owner;Stars;Total Pull Requests
gpt_academic;binary-husky;55340;240
tabby;Eugeny;55061;3898
spring-framework;spring-projects;55053;4707
gatsby;gatsbyjs;55000;21925
rails;rails;54869;33405
element;ElemeFE;53942;4814
leetcode;azl397985856;53740;309
awesome-courses;prakhar1989;53712;251
caddy;caddyserver;53577;2245
SecLists;danielmiessler;53509;714
DeepLearning-500-questions;scutan90;53202;334
docusaurus;facebook;52714;5841
prometheus;prometheus;52658;7782
alacritty;alacritty;52623;2264
llama;meta-llama;52547;132
